,Zip,City,County,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
47,78676,Wimberley,Hays County,151233.33,152150.0,154244.44,157225.0,159956.67,161895.83,161613.1,162838.54,165641.67,168840.83,172190.15,175137.5,176087.82,177464.29,178679.44,179889.58,181376.96,183010.19,185710.09,189608.33,194996.43,200706.44
48,78617,Austin,Travis County,106800.0,105183.33,105572.22,107577.08,109071.67,110727.78,112215.48,113270.83,115128.7,116597.5,118317.42,119775.69,120423.72,120707.14,120441.11,120333.33,120444.61,121178.24,122473.25,124471.67,127058.73,129913.26
49,78747,Austin,Travis County,162091.67,150358.33,146063.89,145822.92,146965.0,147743.06,148136.9,149036.46,150480.56,151885.83,153307.58,155197.92,156271.15,156967.86,157347.22,157723.44,158543.14,159973.61,162109.21,164895.83,168269.84,172182.95
50,78737,Austin,Travis County,247833.33,248691.67,252636.11,256535.42,259173.33,261201.39,261907.14,265122.92,269722.22,274785.0,279961.36,284398.61,285768.59,286748.21,287588.33,288884.38,290747.06,294056.02,298221.49,303225.0,308924.6,315348.11
51,78739,Austin,Travis County,358716.67,353812.5,345183.33,332039.58,325616.67,321875.0,318850.0,316557.29,315188.89,314980.0,315503.79,316577.08,316519.87,316048.21,315453.33,315638.02,317660.29,321309.72,325612.72,330684.17,335957.94,341438.64
52,78726,Austin,Travis County,352733.33,343462.5,330686.11,321702.08,316238.33,310911.11,306082.14,303490.62,302494.44,303332.5,305510.61,308055.56,308425.0,308191.67,307951.67,308645.31,310099.02,313519.44,318168.42,323241.25,328536.9,333912.5
53,78701,Austin,Travis County,169700.0,180975.0,194280.56,208077.08,216426.67,220530.56,223092.86,225502.08,230008.33,234105.0,238793.94,242845.14,244950.0,246034.52,247179.44,248615.1,250772.55,254295.37,259944.74,265472.5,271194.05,278122.73
54,78732,Austin,Travis County,314191.67,302379.17,299966.67,300204.17,300911.67,301366.67,301604.76,303425.0,308253.7,314727.5,323196.97,329282.64,331849.36,333578.57,335676.11,338082.81,341041.18,345404.17,350473.25,355591.67,360558.33,365851.89
55,78645,Lago Vista,Travis County,142258.33,141458.33,143408.33,146268.75,148768.33,150281.94,150992.86,152196.88,154128.7,157328.33,161263.64,164152.78,166143.59,167653.57,168929.44,169408.33,170341.18,171487.04,173409.65,175819.17,179467.06,183623.48
56,78642,Liberty Hill,Williamson County,196391.67,201104.17,203222.22,204918.75,207010.0,207741.67,206308.33,205603.12,205271.3,207457.5,210599.24,213506.94,215406.41,216719.05,218231.11,219885.94,221584.31,224280.09,227993.86,232017.08,237365.48,243347.35
57,78669,Spicewood,Travis County,210433.33,215379.17,219800.0,224443.75,227055.0,230650.0,232922.62,236347.92,241331.48,247708.33,255039.39,260013.19,263342.95,265223.21,266812.22,268658.85,270226.47,272494.44,275372.81,278972.08,283144.44,288904.55
58,78612,Cedar Creek,Bastrop County,77716.67,80687.5,84397.22,87725.0,90911.67,94655.56,98061.9,100787.5,103285.19,105785.83,107761.36,109735.42,111064.1,112605.36,114037.22,115214.58,116302.45,117620.83,119150.88,121744.58,125026.59,129395.45
59,78756,Austin,Travis County,197233.33,198529.17,210661.11,227327.08,239850.0,247954.17,251415.48,255754.17,261968.52,267102.5,272771.21,278059.72,280915.38,283644.05,285680.0,288033.85,291324.51,296690.28,303532.46,310506.67,317701.19,325413.64
60,78957,Smithville,Bastrop County,50516.67,52470.83,55816.67,59266.67,62406.67,65169.44,67319.05,68811.46,70415.74,72135.83,73671.97,74888.19,75776.28,76844.05,77788.89,78559.38,79349.02,80602.31,82083.77,84086.25,86602.38,90014.02
61,78721,Austin,Travis County,72091.67,78845.83,84897.22,91985.42,97810.0,101866.67,104164.29,106552.08,109163.89,112205.0,114819.7,116956.25,118585.26,120062.5,121617.78,123029.69,124741.18,127717.13,131698.25,137316.25,144005.16,151108.33
62,78730,Austin,Travis County,436650.0,438208.33,439144.44,443095.83,446931.67,446908.33,444378.57,443640.62,446403.7,450835.83,456715.91,460588.19,461348.08,460932.14,460247.78,460084.9,460748.04,462309.72,465688.6,471869.17,478117.46,485709.09
63,78736,Austin,Travis County,183991.67,181283.33,181466.67,182985.42,183971.67,184272.22,184210.71,184490.62,185673.15,187814.17,191042.42,193664.58,195612.82,197154.76,197620.56,198730.21,200600.49,203357.41,207178.95,212116.25,217866.67,224596.21
64,78648,Luling,Caldwell County,30375.0,32962.5,34488.89,36300.0,38420.0,40486.11,42240.48,45247.92,47618.52,49825.0,52025.76,53826.39,55362.82,56602.98,57609.44,58555.21,59588.24,60795.83,62201.75,63763.33,65507.54,67592.8
65,78733,Austin,Travis County,397058.33,399525.0,401958.33,403852.08,405400.0,404348.61,399952.38,399828.12,403040.74,408575.83,414420.45,418204.86,418844.23,418705.95,418792.78,420215.62,422336.76,425406.94,429208.33,433884.17,439850.79,447865.91
66,78722,Austin,Travis County,85216.67,97483.33,115152.78,137058.33,154896.67,164681.94,173603.57,180241.67,185844.44,192327.5,199617.42,205754.86,210162.18,213968.45,217041.11,220266.67,224072.06,229009.72,235786.4,242723.33,249907.54,257813.64
67,78725,Austin,Travis County,104366.67,105783.33,107291.67,108518.75,109706.67,110965.28,111983.33,113407.29,114971.3,116128.33,117366.67,118200.0,118535.9,118950.6,118989.44,118809.38,118864.71,119367.59,120669.74,122887.5,125496.43,128407.2
68,78616,Cedar Creek,Bastrop County,,,,,,,,,,,,,,,,,,,,,,
69,78652,San Leanna,Travis County,145408.33,146350.0,148155.56,150977.08,153946.67,156465.28,158346.43,158868.75,161221.3,163698.33,165926.52,168811.81,170403.21,172024.4,173421.67,174557.29,176201.96,178657.41,182007.02,186942.92,192636.51,198264.77
70,78619,Driftwood,Hays County,293366.67,290650.0,291147.22,293518.75,295953.33,297881.94,295559.52,300663.54,306791.67,315020.0,323524.24,329851.39,333136.54,335562.5,336850.0,337624.48,340019.12,343506.48,348226.32,354105.0,359766.27,367112.5
71,78659,Paige,Bastrop County,64466.67,67712.5,69819.44,72008.33,74115.0,75887.5,76911.9,77961.46,79550.93,82045.0,84248.48,86186.81,87960.9,89511.31,90918.33,92138.02,93118.63,94512.5,96956.58,100156.67,103202.78,107419.32
72,76530,Granger,Williamson County,,,,,,,,,,,,,,,,,,,,,,
73,78655,Martindale,Caldwell County,78191.67,84187.5,88072.22,91343.75,94546.67,97941.67,101438.1,104206.25,107205.56,110581.67,113990.91,116961.11,119196.15,120794.05,122433.89,123488.54,124623.53,126363.43,128659.21,131090.0,134409.52,138535.98
